"ALLCOLROW","harvest_area"
"CR235206",1.60000002384186
"CR237206",261.186553955078
"CR237207",77.8345794677734
"CR238205",237.481018066406
"CR238206",594.807067871094
"CR238207",381.575775146484
"CR239205",161.233581542969
"CR239206",273.640716552734
"CR239207",772.716369628906
"CR239208",261.423767089844
"CR240207",460.069427490234
"CR240208",323.872955322266
"CR240209",196.839599609375
"CR240210",231.523422241211
"CR240211",432.213409423828
"CR240212",150.973937988281
"CR240213",378.59814453125
"CR241208",568.979248046875
"CR241209",246.103652954102
"CR241210",224.448104858398
"CR241211",299.788970947266
"CR241212",61.3138389587402
"CR241213",190.789733886719
"CR242210",51.5463638305664
"CR242211",196.421661376953
"CR242212",78.8677062988281
"CR242213",189.716354370117
"CR243206",2976.2861328125
"CR243207",3725.53247070312
"CR243210",175.227798461914
"CR243211",1821.74328613281
"CR243212",4781.05078125
"CR243213",104.572601318359
"CR244202",4.00075435638428
"CR244203",4.09846448898315
"CR244204",1038.43640136719
"CR244205",929.246154785156
"CR244206",1552.75183105469
"CR244207",2694.2216796875
"CR244210",234.450927734375
"CR244211",606.21044921875
"CR244212",152.671112060547
"CR244213",48.846809387207
"CR244214",10.0894193649292
"CR244220",273.320037841797
"CR245201",3.79999995231628
"CR245202",5.20470237731934
"CR245203",16.7932147979736
"CR245204",17.759105682373
"CR245205",626.807739257812
"CR245209",2253.71801757812
"CR245210",671.992370605469
"CR245211",45.5729331970215
"CR245212",39.8870124816895
"CR245213",17.0595226287842
"CR245214",8.34681987762451
"CR245217",23.2999992370605
"CR245218",382.827697753906
"CR245219",281.250946044922
"CR245241",74.4549865722656
"CR246202",2.40000009536743
"CR246203",276.175842285156
"CR246204",4.19999980926514
"CR246205",809.744812011719
"CR246206",937.123718261719
"CR246207",1051.39721679688
"CR246209",1396.51037597656
"CR246210",417.740814208984
"CR246211",97.9846725463867
"CR246212",30.1667175292969
"CR246213",24.7593441009521
"CR246214",1.79999995231628
"CR246240",2.86467623710632
"CR246241",1.39999997615814
"CR247200",15.6999998092651
"CR247201",12.1439113616943
"CR247202",172.199996948242
"CR247203",1086.8525390625
"CR247204",246.09553527832
"CR247205",1641.12585449219
"CR247206",1832.86120605469
"CR247207",1349.208984375
"CR247208",1740.13171386719
"CR247209",1660.14221191406
"CR247210",247.217163085938
"CR247211",315.645629882812
"CR247212",62.4353370666504
"CR247213",110.78116607666
"CR247214",4.26068878173828
"CR247215",14.8999996185303
"CR247221",5.74941968917847
"CR247222",146.705551147461
"CR247223",265.39404296875
"CR247224",199.936294555664
"CR247239",245.878662109375
"CR247240",2.35844802856445
"CR247241",11.5106630325317
"CR248199",4.1112961769104
"CR248200",12.3198146820068
"CR248201",162.382995605469
"CR248202",155.910186767578
"CR248203",1038.35266113281
"CR248204",1075.2314453125
"CR248205",2477.67407226562
"CR248206",4280.7587890625
"CR248207",4116.11376953125
"CR248208",2637.68579101562
"CR248209",2610.15795898438
"CR248210",664.299438476562
"CR248211",158.15983581543
"CR248212",57.5129470825195
"CR248213",40.5371551513672
"CR248214",3.42409634590149
"CR248215",25.8775672912598
"CR248221",11.3336124420166
"CR248222",125.032402038574
"CR248223",164.130462646484
"CR248224",190.58708190918
"CR248225",481.822692871094
"CR248238",270.063751220703
"CR248239",381.765594482422
"CR248240",92.7595748901367
"CR248241",110.8193359375
"CR248242",173.741790771484
"CR249200",12.1782293319702
"CR249201",199.174301147461
"CR249202",223.547988891602
"CR249203",916.741271972656
"CR249204",2639.94213867188
"CR249205",5002.83447265625
"CR249206",5304.4296875
"CR249207",4479.98583984375
"CR249208",3335.66333007812
"CR249209",1036.54321289062
"CR249210",475.283660888672
"CR249211",237.477554321289
"CR249212",136.244781494141
"CR249213",30.4386329650879
"CR249214",26.754524230957
"CR249215",42.556957244873
"CR249221",42.2214050292969
"CR249222",33.6214904785156
"CR249225",1803.18603515625
"CR249237",553.836669921875
"CR249238",674.321716308594
"CR249239",688.304809570312
"CR249240",200.745330810547
"CR249241",254.367904663086
"CR249242",208.487899780273
"CR249243",312.899993896484
"CR250200",275.143890380859
"CR250201",696.380493164062
"CR250202",496.817504882812
"CR250203",517.882202148438
"CR250204",1554.88500976562
"CR250205",2659.26953125
"CR250206",2655.70874023438
"CR250207",3762.46044921875
"CR250208",1807.89929199219
"CR250209",837.888549804688
"CR250210",84.7434997558594
"CR250211",1207.83715820312
"CR250212",1861.71557617188
"CR250213",777.319274902344
"CR250214",94.1346817016602
"CR250215",202.081130981445
"CR250216",417.783355712891
"CR250217",46.9467658996582
"CR250219",66.8610305786133
"CR250220",63.3186073303223
"CR250221",78.4744567871094
"CR250236",166.417297363281
"CR250237",1353.25329589844
"CR250238",686.363647460938
"CR250239",797.152893066406
"CR250240",402.621307373047
"CR250241",536.374267578125
"CR250242",211.379898071289
"CR250243",253.367706298828
"CR251200",66.1704788208008
"CR251201",538.304321289062
"CR251202",460.484619140625
"CR251203",567.404846191406
"CR251204",787.979614257812
"CR251205",745.587158203125
"CR251206",829.324462890625
"CR251207",1695.85754394531
"CR251208",1521.97888183594
"CR251209",378.654418945312
"CR251210",249.035354614258
"CR251211",2543.931640625
"CR251212",854.470458984375
"CR251213",1296.53308105469
"CR251214",1221.06848144531
"CR251215",2291.7529296875
"CR251216",1417.59240722656
"CR251217",198.150360107422
"CR251218",129.680969238281
"CR251219",1180.34436035156
"CR251220",754.397399902344
"CR251221",91.5736999511719
"CR251222",867.146789550781
"CR251232",4270.466796875
"CR251236",2052.9970703125
"CR251237",3186.34619140625
"CR251238",2360.103515625
"CR251239",1257.40173339844
"CR251240",525.458068847656
"CR251241",699.649658203125
"CR251242",540.990600585938
"CR251243",333.757019042969
"CR252200",46.373893737793
"CR252201",58.4483680725098
"CR252202",28.8184547424316
"CR252203",192.077865600586
"CR252204",375.887878417969
"CR252205",746.274353027344
"CR252206",142.589797973633
"CR252207",299.014312744141
"CR252208",282.916687011719
"CR252209",504.288116455078
"CR252212",960.313537597656
"CR252213",662.80908203125
"CR252214",1125.6865234375
"CR252215",2244.4765625
"CR252216",809.302978515625
"CR252217",222.699813842773
"CR252218",784.027404785156
"CR252220",580.262634277344
"CR252221",153.934310913086
"CR252222",113.082489013672
"CR252229",3980.15625
"CR252230",2437.34716796875
"CR252231",3227.93920898438
"CR252232",394.007751464844
"CR252235",760.611633300781
"CR252236",3730.88549804688
"CR252237",4253.78076171875
"CR252238",4259.5361328125
"CR252239",2864.25659179688
"CR252240",558.036499023438
"CR252241",1176.48596191406
"CR252242",338.430267333984
"CR252243",198.310424804688
"CR252244",240.114562988281
"CR253200",37.392993927002
"CR253201",59.3216857910156
"CR253202",37.2000007629395
"CR253203",433.916198730469
"CR253207",445.103302001953
"CR253208",429.147064208984
"CR253209",453.757049560547
"CR253212",938.698486328125
"CR253213",558.502868652344
"CR253214",1818.43603515625
"CR253215",1082.06018066406
"CR253216",198.108276367188
"CR253220",66.7712554931641
"CR253222",25.8373470306396
"CR253226",385.516143798828
"CR253227",434.241119384766
"CR253228",506.731506347656
"CR253229",4269.3681640625
"CR253230",4301.84228515625
"CR253231",2147.82495117188
"CR253232",2157.8388671875
"CR253233",565.521240234375
"CR253234",204.829467773438
"CR253235",1394.04211425781
"CR253236",4331.3603515625
"CR253237",4605.21875
"CR253238",4624.77734375
"CR253239",3484.02783203125
"CR253240",1139.18896484375
"CR253241",839.329833984375
"CR253242",210.107116699219
"CR253243",114.290107727051
"CR253244",155.807907104492
"CR253245",214.902755737305
"CR254207",950.429077148438
"CR254208",620.952392578125
"CR254209",232.001602172852
"CR254210",1322.17065429688
"CR254211",1490.8046875
"CR254212",606.382995605469
"CR254213",804.494262695312
"CR254214",389.573028564453
"CR254215",383.672149658203
"CR254216",1362.69177246094
"CR254219",404.345642089844
"CR254220",120.441772460938
"CR254222",16.0747871398926
"CR254223",19.4379768371582
"CR254226",264.696136474609
"CR254227",708.96142578125
"CR254228",571.588317871094
"CR254229",4177.09375
"CR254230",4936.01025390625
"CR254231",2436.90234375
"CR254232",2104.82983398438
"CR254233",1638.72717285156
"CR254234",624.100646972656
"CR254235",916.004211425781
"CR254236",3561.46118164062
"CR254237",4244.22021484375
"CR254238",3995.49658203125
"CR254239",1975.44750976562
"CR254240",874.830200195312
"CR254241",1032.47326660156
"CR254242",402.874114990234
"CR254243",213.312149047852
"CR254244",95.8080825805664
"CR254245",337.691497802734
"CR254246",206.048252741496
"CR254247",18.4554271697998
"CR254248",35.7361450195312
"CR255201",241.657440185547
"CR255202",288.415649414062
"CR255203",200.810760498047
"CR255204",744.965087890625
"CR255205",1189.14086914062
"CR255206",1074.06848144531
"CR255207",913.683959960938
